ID,GENERO,RENTA,EDAD,NIV_EDUC,E_CIVIL,COD_OFI,COD_COM,CIUDAD,D_Marzo,D_Abril,D_Mayo,D_Junio,D_Julio,D_Agosto,D_Septiembre,M_MOROSO,MONTO,SEGURO,FUGA,P_FUGA,FUGA_PRIMA
2324,M,247041.0,52,UNV,CAS,27,226.0,CONCEPCION,0,4582,0,0,94,2221,0,1.0,1600000,NO,1.0,0.9110074639320374,1
2325,M,497133.0,34,UNV,CAS,35,106.0,SANTIAGO,0,290037,0,923257,1260,0,1510,1.0,6500000,SI,0.0,0.09439186751842499,1
2326,F,517968.0,45,UNV,SOL,85,87.0,SANTIAGO,0,325274,0,454087,36,0,337,1.0,2400000,NO,1.0,0.9154202342033386,1
2327,M,795436.0,29,UNV,CAS,127,88.0,SANTIAGO,0,317744,0,834141,11,8863,329,2.0,4100000,NO,1.0,0.5367252230644226,1
2328,M,65392.0,36,UNV,CAS,72,504.0,EL SALVADOR,196862,95699,0,0,851,0,0,1.0,1400000,SI,0.0,0.048375412821769714,1
2329,M,1321843.0,40,MED,CAS,10,5.0,IQUIQUE,0,0,0,315952,0,8657,502,0.0,8000000,SI,0.0,0.004346426576375961,0
2330,M,110208.0,53,TEC,CAS,27,226.0,CONCEPCION,2307763,42020,0,2525355,7508,10836,4652,2.0,3000000,SI,1.0,0.9577652215957642,1
2331,M,910117.0,52,MED,CAS,27,226.0,CONCEPCION,1561289,154508,0,322047,3197,1779,14914,2.0,6000000,NO,1.0,0.7399933934211731,1
2332,M,36245.0,52,MED,CAS,27,226.0,CONCEPCION,0,110092,0,0,14,615,0,1.0,4500000,NO,1.0,0.9475072026252747,1
2333,F,189396.0,24,TEC,CAS,122,284.0,OSORNO,93966,142864,0,4956,490,0,18,1.0,1100000,NO,1.0,0.5976695418357849,1
2334,F,101536.0,31,UNV,SOL,47,66.0,VALPARAISO,0,24922,0,179875,51,0,88,1.0,1800000,SI,0.0,0.0673968717455864,1
2335,M,1200733.0,49,TEC,CAS,52,104.0,SANTIAGO,0,1220929,0,91314,1007,11707,7618,2.0,6400000,NO,1.0,0.7100339531898499,1
2336,M,474138.0,31,MED,SEP,44,176.0,SAN CLEMENTE,0,154179,0,391679,75,0,69,1.0,2400000,SI,0.0,0.18573378026485443,1
2337,F,188606.0,35,TEC,VIU,90,291.0,PUERTO MONTT,0,0,7812690,0,0,0,5907,0.0,2400000,SI,0.0,0.0017563358414918184,0
2338,M,1581705.0,46,UNV,CAS,55,90.0,SANTIAGO,350854,111623,0,1243925,2995,0,18620,2.0,1000000,SI,1.0,0.9811915755271912,1
2339,M,1373197.0,44,MED,CAS,138,1.0,ARICA,0,15669,0,779886,2030,0,10987,2.0,5100000,NO,1.0,0.5483328700065613,1
2340,F,947855.0,58,TEC,CAS,45,93.0,SANTIAGO,0,337903,0,0,120,0,0,1.0,6500000,SI,0.0,0.02652091346681118,0
2341,F,47965.0,48,,SOL,34,31.0,COQUIMBO,807407,262507,0,0,314,115,384,1.0,2400000,SI,,,0
2342,M,25330.0,49,MED,CAS,138,1.0,ARICA,0,44867,0,445668,433,0,564,2.0,600000,SI,1.0,0.8990775346755981,1
2343,F,20497.0,56,TEC,SOL,21,502.0,CHUQUICAMATA,0,182793,0,0,0,26918,0,0.0,8000000,SI,0.0,0.0012641401262953877,0
2344,M,19852.0,40,MED,SOL,34,29.0,LA SERENA,2709248,181004,0,100403,513,6780,0,2.0,700000,NO,1.0,0.5196977257728577,1
2345,M,803008.0,40,UNV,CAS,59,85.0,SANTIAGO,0,824211,0,161332,379,0,316,1.0,8000000,NO,1.0,0.8082031607627869,1
2346,M,917414.0,44,MED,CAS,91,279.0,PANGUIPULLI,0,40022,0,222310,73,0,1127,1.0,4700000,NO,1.0,0.5722021460533142,1
2347,F,52043.0,49,TEC,SOL,151,226.0,CONCEPCION,0,1721281,0,0,810,0,0,1.0,8000000,SI,0.0,0.0164475217461586,0
2348,M,342778.0,52,UNV,CAS,27,226.0,CONCEPCION,110326,10191,0,97144,1233,10932,92,3.0,750000,NO,1.0,0.878348708152771,1
2349,F,938246.0,40,UNV,SEP,102,90.0,SANTIAGO,0,249681,0,80077,354,0,26,2.0,3400000,NO,1.0,0.9276601672172546,1
2350,F,149524.0,52,UNV,CAS,27,226.0,CONCEPCION,2531546,473184,0,211546,3580,0,3108,3.0,2200000,SI,1.0,0.916754424571991,1
2351,M,861796.0,49,UNV,SOL,155,88.0,SANTIAGO,0,429811,0,0,79,18723,17861,1.0,8000000,NO,1.0,0.6751424670219421,1
2352,M,328872.0,45,UNV,CAS,31,119.0,SANTIAGO,0,544676,0,0,0,0,179,1.0,1500000,NO,1.0,0.9649895429611206,1
2353,M,17817.0,57,UNV,SOL,27,226.0,CONCEPCION,0,0,0,922981,0,0,592,0.0,2400000,NO,0.0,0.01843780092895031,0
2354,M,335661.0,55,MED,CAS,27,226.0,CONCEPCION,0,8869,0,1575657,159,4505,3125,1.0,2400000,NO,1.0,0.9056407809257507,1
2355,M,302760.0,36,UNV,CAS,90,89.0,SANTIAGO,0,0,0,594852,0,0,538,0.0,6000000,NO,0.0,0.005887152161449194,0
2356,F,284796.0,28,TEC,CAS,132,99.0,SANTIAGO,0,72716,0,0,357,0,0,3.0,1200000,NO,0.0,0.31094902753829956,1
2357,F,112515.0,49,UNV,CAS,90,105.0,SANTIAGO,0,804,401930,304645,866,0,3828,2.0,1000000,NO,1.0,0.950329065322876,1
2358,F,18227.0,45,TEC,SOL,149,87.0,SANTIAGO,0,9935,0,0,0,0,0,0.0,2100000,SI,0.0,0.0030513477977365255,0
2359,M,313214.0,47,UNV,SOL,138,1.0,ARICA,0,0,0,0,402,0,0,2.0,700000,NO,1.0,0.8451603055000305,1
2360,F,632418.0,50,TEC,SOL,138,1.0,ARICA,0,192288,0,51350,19,0,34,3.0,2000000,NO,1.0,0.544765830039978,1
2361,F,10786.0,40,TEC,SOL,40,67.0,VINA DEL MAR,0,182923,0,0,0,0,1218,1.0,2400000,SI,0.0,0.016561368480324745,0
2362,M,967910.0,40,UNV,SEP,30,98.0,SANTIAGO,41735,1479993,0,481009,961,0,503,3.0,1900000,NO,1.0,0.9708532691001892,1
2363,F,2844545.0,44,MED,CAS,52,90.0,SANTIAGO,376235,1311,0,90472,684,18522,1,1.0,8000000,NO,0.0,0.034180790185928345,0
2364,M,514628.0,33,TEC,CAS,138,89.0,SANTIAGO,0,972270,0,0,0,1837,1565,0.0,3300000,SI,0.0,0.009709017351269722,0
2365,M,76690.0,38,UNV,CAS,56,146.0,DONIHUE,0,151400,0,19360,145,0,0,1.0,1800000,NO,0.0,0.11846902966499329,1
2366,F,156210.0,54,UNV,SOL,24,86.0,SANTIAGO,0,673,0,29706,3,0,0,1.0,2400000,NO,1.0,0.921941876411438,1
2367,F,116747.0,48,UNV,CAS,138,1.0,ARICA,0,1655,0,0,8,0,0,1.0,2300000,NO,1.0,0.8652326464653015,1
2368,M,110503.0,48,UNV,CAS,138,1.0,ARICA,0,102285,0,0,3,0,0,1.0,1900000,NO,1.0,0.9271625280380249,1
2369,M,619464.0,41,UNV,CAS,31,119.0,SANTIAGO,0,8977,1494698,0,340,0,73,1.0,2400000,NO,1.0,0.9140499830245972,1
2370,M,501752.0,49,UNV,SOL,138,1.0,ARICA,445077,318,0,421870,1805,0,570,2.0,1100000,SI,1.0,0.9129720330238342,1
2371,M,527021.0,53,UNV,CAS,17,80.0,SANTIAGO,146767,1241110,0,120686,1746,50552,180,1.0,1200000,NO,1.0,0.9600905776023865,1
2372,F,502507.0,46,UNV,CAS,31,119.0,SANTIAGO,0,267251,0,0,29,6400,0,1.0,4200000,NO,1.0,0.9331382513046265,1
2373,F,593145.0,47,UNV,CAS,71,326.0,PUNTA ARENAS,0,229104,0,0,5,0,0,1.0,2000000,SI,1.0,0.9407622814178467,1
2374,M,268522.0,42,UNV,CAS,45,89.0,SANTIAGO,0,217027,0,236655,0,0,3,1.0,1700000,NO,1.0,0.9517420530319214,1
2375,M,331972.0,50,UNV,VIU,108,118.0,SANTIAGO,0,25837,0,0,521,1153,0,1.0,3700000,NO,1.0,0.8987758159637451,1
2376,F,72.0,45,TEC,SOL,72,504.0,EL SALVADOR,0,617106,0,18693,1544,0,1026,1.0,900000,SI,0.0,0.03602834790945053,0
2377,F,56185.0,42,TEC,SEP,44,92.0,SANTIAGO,0,164959,0,0,28,21400,622,1.0,2100000,SI,0.0,0.02228572405874729,0
2378,F,509412.0,39,TEC,SOL,90,92.0,SANTIAGO,0,0,0,0,2900,6775,27046,1.0,700000,NO,0.0,0.01705845817923546,0
2379,M,10502.0,43,MED,CAS,55,90.0,SANTIAGO,728398,315784,0,511978,71,20306,1823,3.0,8000000,SI,1.0,0.9723160266876221,1
2380,M,364932.0,52,MED,CAS,27,226.0,CONCEPCION,0,42210,0,5056,131,0,49,1.0,2300000,NO,1.0,0.8425496220588684,1
2381,M,2341685.0,30,MED,CAS,101,88.0,SANTIAGO,0,797127,0,133973,456,0,187,1.0,8000000,NO,0.0,0.1280878186225891,1
2382,M,110790.0,53,TEC,SOL,27,226.0,CONCEPCION,0,448236,0,21608,328,0,420,1.0,1700000,NO,1.0,0.9060935974121094,1
2383,M,586336.0,42,UNV,CAS,71,326.0,PUNTA ARENAS,0,0,0,0,1437,0,3920,2.0,8000000,NO,0.0,0.3714650571346283,1
2384,F,1591133.0,36,MED,SEP,86,105.0,SANTIAGO,0,76415,0,0,27,11399,2,1.0,5500000,NO,0.0,0.004913694225251675,0
2385,M,346461.0,48,MED,CAS,127,105.0,SANTIAGO,0,1855,0,11045,1210,0,1,3.0,900000,NO,1.0,0.9194567203521729,1
2386,M,526845.0,35,TEC,SOL,29,90.0,SANTIAGO,359389,289175,0,0,391,0,0,1.0,1900000,NO,0.0,0.02255912683904171,0
2387,M,17340.0,44,UNV,CAS,55,90.0,SANTIAGO,0,851,0,172683,1824,0,464,3.0,1200000,NO,1.0,0.9829796552658081,1
2388,M,40048.0,45,UNV,CAS,55,90.0,SANTIAGO,0,912713,0,0,870,13682,691,1.0,8000000,NO,1.0,0.9785236120223999,1
2389,F,35225.0,46,TEC,SOL,103,93.0,SANTIAGO,0,131783,0,0,1,0,0,1.0,1600000,SI,0.0,0.04247743636369705,0
2390,F,122249.0,52,TEC,CAS,39,84.0,SANTIAGO,287523,4080,0,121476,68,0,80,2.0,900000,NO,1.0,0.6688462495803833,1
2391,M,325481.0,24,UNV,CAS,82,88.0,SANTIAGO,0,79625,0,0,2,0,169,1.0,1700000,NO,1.0,0.9212570190429688,1
2392,M,6216.0,42,UNV,CAS,125,81.0,SANTIAGO,0,424063,0,849685,5,9151,908,1.0,2700000,NO,1.0,0.9897957444190979,1
2393,F,3484840.0,31,TEC,SOL,14,22.0,COPIAPO,0,0,0,0,0,0,10,0.0,4000000,NO,0.0,0.0023787005338817835,0
2394,M,508147.0,39,TEC,CAS,73,87.0,SANTIAGO,0,60953,0,0,568,3073,3750,2.0,8000000,NO,0.0,0.02981928549706936,0
2395,M,537160.0,54,UNV,CAS,90,90.0,SANTIAGO,0,680246,0,161470,0,0,0,1.0,1800000,NO,1.0,0.9257596135139465,1
2396,M,3287056.0,59,UNV,SOL,84,85.0,SANTIAGO,0,285124,0,188995,1082,51432,0,3.0,8000000,NO,0.0,0.033257365226745605,0
2397,M,156128.0,50,UNV,SOL,52,94.0,SANTIAGO,0,223072,0,0,67,0,0,1.0,1700000,NO,1.0,0.9521548748016357,1
2398,F,516047.0,28,UNV,SOL,60,291.0,PUERTO MONTT,0,30196,0,27469,157,0,231,2.0,2300000,NO,0.0,0.3467133939266205,1
2399,F,2389025.0,32,TEC,VIU,35,105.0,SANTIAGO,0,2933,0,154966,298,1523,147,3.0,1400000,NO,0.0,0.030907802283763885,0
2400,M,48429.0,54,MED,SOL,122,97.0,SANTIAGO,0,307792,0,35946,247,0,8,1.0,4000000,NO,1.0,0.9800920486450195,1
2401,M,411952.0,29,UNV,CAS,39,84.0,SANTIAGO,218689,175528,0,198402,984,0,7,1.0,2800000,NO,0.0,0.4290308356285095,1
2402,F,43254.0,42,TEC,SOL,95,316.0,AYSEN,0,668591,4960853,2831423,133,0,11488,1.0,2600000,SI,0.0,0.02368137799203396,0
2403,M,4367380.0,43,UNV,CAS,55,90.0,SANTIAGO,188943,251941,0,61481,1617,0,31027,2.0,500000,NO,1.0,0.9924076795578003,1
2404,M,248437.0,32,BAS,SEP,31,120.0,SANTIAGO,163230,223790,0,20123,156,0,71,1.0,1500000,SI,0.0,0.2699354887008667,1
2405,M,857241.0,33,UNV,CAS,55,90.0,SANTIAGO,0,130126,0,156268,5,0,75,3.0,1700000,NO,1.0,0.7222540974617004,1
2406,M,1048919.0,47,UNV,CAS,76,80.0,SANTIAGO,0,232019,0,0,47,0,0,1.0,5700000,NO,1.0,0.9769907593727112,1
2407,M,786016.0,40,MED,CAS,90,109.0,SANTIAGO,0,63626,0,0,154,0,0,1.0,1900000,NO,1.0,0.7013517618179321,1
2408,M,822419.0,37,UNV,CAS,90,89.0,SANTIAGO,0,952206,0,43623,0,6719,0,0.0,4700000,NO,0.0,0.006553915329277515,0
2409,M,1806119.0,59,TEC,SOL,28,110.0,SANTIAGO,0,0,0,0,7760,3042,11,2.0,8000000,NO,0.0,0.04035039618611336,0
2410,F,3340519.0,38,TEC,SOL,64,314.0,COYHAIQUE,0,561942,0,66285,610,0,0,1.0,8000000,NO,0.0,0.007125833537429571,0
2411,M,90786.0,55,MED,SOL,144,86.0,SANTIAGO,0,219306,0,7517,1535,0,788,3.0,2100000,NO,1.0,0.985226571559906,1
2412,M,130751.0,40,TEC,CAS,16,89.0,SANTIAGO,1708634,22647,0,140057,3720,5713,2718,2.0,4400000,NO,1.0,0.6545543074607849,1
2413,M,1610852.0,48,MED,CAS,84,102.0,SANTIAGO,0,1981073,0,150131,349,0,323,1.0,8000000,NO,1.0,0.734300434589386,1
2414,M,221218.0,48,UNV,CAS,127,85.0,SANTIAGO,0,1220442,0,0,141,0,101,2.0,8000000,NO,1.0,0.9192686080932617,1
2415,M,419233.0,50,UNV,CAS,31,119.0,SANTIAGO,0,1227,0,100551,18,0,131,1.0,1800000,NO,1.0,0.9531260132789612,1
2416,M,202.0,41,UNV,CAS,55,90.0,SANTIAGO,0,1691532,0,240549,670,7202,315,2.0,4400000,NO,1.0,0.9874338507652283,1
2417,F,45141.0,48,TEC,SOL,51,88.0,SANTIAGO,0,218225,0,0,0,0,69,0.0,5800000,SI,0.0,0.0017077194061130285,0
2418,F,825436.0,33,TEC,SOL,61,284.0,OSORNO,948039,529107,0,289820,1858,0,75,1.0,1900000,NO,0.0,0.012192467227578163,0
2419,F,30841.0,60,MED,SOL,102,85.0,SANTIAGO,0,814649,0,0,672,17578,824,1.0,8000000,SI,0.0,0.00462344428524375,0
2420,F,9785.0,42,UNV,CAS,76,98.0,SANTIAGO,0,55883,0,0,1,0,0,1.0,2200000,NO,1.0,0.9153447151184082,1
2421,M,519902.0,46,MED,CAS,31,119.0,SANTIAGO,0,34172,0,57218,0,0,4739,1.0,1900000,NO,1.0,0.9013293981552124,1
2422,M,398861.0,32,UNV,CAS,48,107.0,SANTIAGO,0,292999,0,0,43,0,65,2.0,1900000,NO,0.0,0.2422594428062439,1
2423,M,11045.0,39,MED,CAS,100,94.0,SANTIAGO,294639,40207,0,13255,1655,0,35,2.0,4300000,NO,0.0,0.30606111884117126,1
2424,M,50200.0,48,UNV,CAS,48,85.0,SANTIAGO,0,4528,0,198145,0,11091,422,1.0,5200000,NO,1.0,0.9886490106582642,1
2425,F,3464.0,51,TEC,SOL,152,93.0,SANTIAGO,0,297604,0,234790,0,0,1607,0.0,4800000,SI,0.0,0.0017452302854508162,0
2426,M,464759.0,49,UNV,SEP,31,119.0,SANTIAGO,0,276389,0,1036342,0,0,1683,1.0,1700000,NO,1.0,0.9663850665092468,1
2427,M,11814.0,49,UNV,CAS,55,90.0,SANTIAGO,0,22937,0,37766,36,0,81,2.0,1800000,SI,1.0,0.9925439357757568,1
2428,F,402635.0,50,MED,CAS,12,13.0,CALAMA,77264,0,0,0,174,0,0,1.0,1000000,NO,0.0,0.27187708020210266,1
2429,M,809645.0,56,MED,CAS,90,88.0,SANTIAGO,0,0,0,0,4,0,0,1.0,8000000,NO,0.0,0.108956478536129,1
2430,F,169887.0,42,MED,CAS,67,193.0,CHILLAN,0,0,0,0,0,0,0,0.0,2000000,NO,0.0,0.009965954348444939,0
2431,F,2966475.0,39,TEC,SOL,21,22.0,COPIAPO,0,0,0,0,0,13508,4234,0.0,2400000,NO,0.0,0.0016954084858298302,0
2432,F,686881.0,56,MED,CAS,19,117.0,SANTIAGO,0,1915612,0,0,225,9826,0,1.0,3000000,NO,0.0,0.08036039024591446,1
2433,M,512010.0,47,MED,CAS,138,1.0,ARICA,491324,11190,0,212672,1344,0,8,1.0,500000,SI,1.0,0.8772274851799011,1
2434,F,377193.0,42,TEC,SEP,38,103.0,SANTIAGO,0,2892,0,0,20,0,3,1.0,2100000,NO,0.0,0.2500469982624054,1
2435,M,1195649.0,53,UNV,CAS,31,92.0,SANTIAGO,0,155407,642574,1977499,4256,3319,1227,2.0,1900000,NO,1.0,0.9839390516281128,1
2436,M,1059501.0,34,UNV,SOL,77,227.0,TALCAHUANO,0,737743,0,1824638,0,0,644,0.0,8000000,NO,0.0,0.0042821187525987625,0
2437,F,37339.0,41,TEC,SOL,90,93.0,SANTIAGO,0,26482,0,0,2,0,0,1.0,2400000,SI,0.0,0.039172783493995667,0
2438,M,3530.0,48,MED,CAS,138,1.0,ARICA,0,89413,0,680141,5,0,821,1.0,1800000,NO,1.0,0.9667616486549377,1
2439,F,269171.0,32,TEC,CAS,88,61.0,LA CALERA,0,3807,0,287922,1150,0,379,3.0,2000000,NO,0.0,0.3335893750190735,1
2440,M,471870.0,55,MED,SEP,90,90.0,SANTIAGO,0,0,1391983,0,0,0,2237,1.0,2000000,NO,1.0,0.9096719622612,1
2441,M,1639218.0,35,UNV,CAS,72,504.0,EL SALVADOR,0,25631,0,0,415,1076,303,1.0,8000000,NO,0.0,0.029695263132452965,0
2442,M,23939.0,40,UNV,CAS,28,98.0,SANTIAGO,0,0,0,365831,68,0,826,3.0,5600000,NO,1.0,0.9868379235267639,1
2443,M,9422141.0,43,UNV,CAS,131,80.0,SANTIAGO,0,192420,0,142282,54,0,14,1.0,1600000,NO,1.0,0.9934357404708862,1
2444,M,751424.0,53,UNV,CAS,27,226.0,CONCEPCION,0,530407,0,0,534,0,2556,2.0,5000000,NO,1.0,0.872244656085968,1
2445,M,125830.0,55,TEC,CAS,28,118.0,SANTIAGO,0,394703,0,10434,407,0,0,1.0,1600000,SI,1.0,0.9487197995185852,1
2446,F,42948.0,47,TEC,SOL,18,85.0,SANTIAGO,0,0,0,0,1093,0,2063,1.0,6000000,SI,0.0,0.01696876622736454,0
2447,M,722398.0,42,MED,CAS,138,1.0,ARICA,2783794,594319,0,0,1661,0,393,2.0,2200000,SI,0.0,0.36859819293022156,1
2448,F,208515.0,29,UNV,CAS,49,81.0,SANTIAGO,2437273,246958,2132853,0,632,0,0,1.0,2600000,NO,0.0,0.1987057626247406,1
2449,F,450956.0,46,TEC,CAS,138,1.0,ARICA,0,140896,0,347052,297,0,1035,1.0,2300000,NO,0.0,0.40894827246665955,1
2450,F,729104.0,30,TEC,CAS,54,85.0,SANTIAGO,0,184,1180463,245008,126,26643,13065,1.0,4300000,SI,0.0,0.03829416632652283,0
2451,M,319704.0,38,MED,CAS,12,13.0,CALAMA,0,15644,0,0,77,6443,0,1.0,5800000,NO,0.0,0.03962204232811928,0
2452,M,423603.0,51,MED,CAS,138,1.0,ARICA,60275,155571,0,432,383,8798,7833,1.0,1100000,NO,1.0,0.8142908215522766,1
2453,F,199352.0,44,UNV,SEP,83,88.0,SANTIAGO,0,40596,0,402202,1818,0,215,3.0,1500000,NO,1.0,0.9007811546325684,1
2454,F,37340.0,49,MED,VIU,13,29.0,LA SERENA,165500,0,0,0,368,6147,0,1.0,2800000,SI,0.0,0.04534776136279106,1
2455,M,48860.0,43,UNV,CAS,55,90.0,SANTIAGO,0,516953,0,1292660,0,0,1171,1.0,4200000,SI,1.0,0.9860010743141174,1
2456,F,2477444.0,42,TEC,SOL,67,193.0,CHILLAN,0,328249,0,112456,0,0,335,0.0,4300000,NO,0.0,0.0040985532104969025,0
2457,M,186118.0,36,MED,CAS,66,253.0,TEMUCO,413939,121376,0,0,513,0,0,2.0,1100000,NO,0.0,0.03438694775104523,0
2458,M,330248.0,38,MED,CAS,43,70.0,QUILPUE,0,231014,0,0,1,0,0,1.0,1600000,NO,0.0,0.028239913284778595,0
2459,M,2542408.0,41,UNV,CAS,55,90.0,SANTIAGO,0,565498,0,76916,47,0,14,2.0,1600000,SI,1.0,0.9807041883468628,1
2460,F,39675.0,60,MED,VIU,86,50.0,SAN ESTEBAN,522407,0,0,0,608,0,805,1.0,1500000,SI,0.0,0.007645331788808107,0
2461,F,1378434.0,59,TEC,CAS,28,110.0,SANTIAGO,0,0,0,0,3396,18566,55,1.0,8000000,NO,0.0,0.007773114833980799,0
2462,M,1016281.0,55,TEC,CAS,55,91.0,SANTIAGO,0,394283,0,291510,1119,2739,401,1.0,1600000,NO,1.0,0.9263265132904053,1
2463,M,255197.0,34,MED,CAS,82,84.0,SANTIAGO,0,196566,0,279968,1552,120,515,2.0,1200000,NO,0.0,0.10512230545282364,1
2464,F,5086551.0,32,TEC,SOL,20,314.0,COYHAIQUE,0,0,0,0,1656,0,0,1.0,3000000,NO,0.0,0.01075879018753767,0
2465,F,4374.0,42,TEC,SOL,30,91.0,SANTIAGO,0,0,0,0,90,0,0,1.0,550000,SI,0.0,0.027220940217375755,0
2466,M,252403.0,36,UNV,CAS,63,301.0,ANCUD,0,208063,0,22317,495,0,0,1.0,1600000,NO,0.0,0.03973972424864769,0
2467,F,12041.0,40,TEC,SOL,90,80.0,SANTIAGO,0,151559,0,0,249,0,2,1.0,2000000,SI,0.0,0.015915963798761368,0
2468,M,196794.0,45,MED,CAS,68,213.0,LOS ANGELES,0,0,0,1479896,0,0,1446,0.0,4100000,NO,0.0,0.021495981141924858,0
2469,M,743849.0,42,UNV,CAS,55,90.0,SANTIAGO,981037,96126,0,0,1763,283,0,2.0,3500000,NO,1.0,0.9514256715774536,1
2470,F,5914343.0,44,UNV,CAS,55,90.0,SANTIAGO,914768,143339,0,124804,2567,0,435,1.0,1200000,NO,1.0,0.9487514495849609,1
2471,M,2197364.0,45,TEC,CAS,102,90.0,SANTIAGO,0,133036,0,0,285,0,14938,3.0,8000000,NO,0.0,0.4618299901485443,1
2472,M,624062.0,48,MED,SOL,25,106.0,SANTIAGO,0,267256,0,1005808,682,0,299,1.0,1000000,NO,1.0,0.8079676032066345,1
2473,F,572883.0,60,MED,CAS,68,213.0,LOS ANGELES,1129768,1870233,676915,0,0,0,1879,0.0,2500000,NO,0.0,0.003630426712334156,0
2474,M,305187.0,36,UNV,CAS,12,13.0,CALAMA,0,113562,0,200843,0,1287,241,0.0,2000000,NO,0.0,0.004430438857525587,0
